month,series,relative_google,Norm_80
2011-01,1,10,12
2011-02,2,11,13
2011-03,3,10,12
2011-04,4,10,12
2011-05,5,10,12
2011-06,6,10,12
2011-07,7,9,11
2011-08,8,11,13
2011-09,9,12,15
2011-10,10,16,20
2011-11,11,15,18
2011-12,12,12,15
2012-01,13,12,15
2012-02,14,13,16
2012-03,15,14,17
2012-04,16,13,16
2012-05,17,14,17
2012-06,18,13,16
2012-07,19,13,16
2012-08,20,13,16
2012-09,21,15,18
2012-10,22,14,17
2012-11,23,14,17
2012-12,24,13,16
2013-01,25,14,17
2013-02,26,15,18
2013-03,27,15,18
2013-04,28,16,20
2013-05,29,16,20
2013-06,30,14,17
2013-07,31,13,16
2013-08,32,14,17
2013-09,33,17,21
2013-10,34,19,23
2013-11,35,18,22
2013-12,36,17,21
2014-01,37,18,22
2014-02,38,20,25
2014-03,39,20,25
2014-04,40,21,26
2014-05,41,20,25
2014-06,42,20,25
2014-07,43,19,23
2014-08,44,19,23
2014-09,45,24,30
2014-10,46,24,30
2014-11,47,24,30
2014-12,48,23,28
2015-01,49,25,31
2015-02,50,26,32
2015-03,51,27,33
2015-04,52,28,35
2015-05,53,28,35
2015-06,54,28,35
2015-07,55,28,35
2015-08,56,29,36
2015-09,57,31,38
2015-10,58,35,43
2015-11,59,37,46
2015-12,60,35,43
2016-01,61,35,43
2016-02,62,39,48
2016-03,63,40,50
2016-04,64,42,52
2016-05,65,44,55
2016-06,66,44,55
2016-07,67,37,46
2016-08,68,42,52
2016-09,69,49,61
2016-10,70,52,65
2016-11,71,60,75
2016-12,72,59,73
2017-01,73,63,78
2017-02,74,69,86
2017-03,75,76,95
2017-04,76,75,93
2017-05,77,80,100
2017-06,78,81,101
2017-07,79,77,96
2017-08,80,80,100
2017-09,81,86,107
2017-10,82,95,118
2017-11,83,97,121
2017-12,84,100,125
